"","origin","dest","dep_delay","arr_delay","visib","carrier"
"7160","MCO","EWR","<=15","<=15",7,"UA"
"7161","SNA","EWR","<=15","<=15",0.75,"UA"
"7162","ATL","LGA",">60",">60",10,"WN"
"7163","ATL","LGA","45-60","30-45",9,"DL"
"7164","SFO","JFK","<=15","<=15",7,"B6"
"7165","CLT","EWR","45-60","30-45",7,"AA"
"7166","MIA","EWR","15-30","<=15",9,"NK"
"7167","GSP","EWR","<=15","<=15",7,"YX"
"7168","JFK","SAN","30-45","15-30",10,"B6"
"7169","JFK","BUF",">60",">60",5,"B6"
"7170","JFK","BTV","<=15","<=15",7,"B6"
"7171","JFK","BOS","15-30","<=15",10,"B6"
"7172","LGA","MCO","<=15","<=15",10,"B6"
"7173","LGA","FLL","15-30","15-30",10,"B6"
"7174","JFK","ORD",">60",">60",6,"B6"
"7175","JFK","LAS","30-45","<=15",10,"DL"
"7176","JFK","SFO",">60",">60",10,"B6"
"7177","MCO","JFK","45-60",">60",7,"B6"
"7178","LGA","CHS","<=15","<=15",10,"B6"
"7179","ATL","LGA","<=15","<=15",10,"DL"
"7180","ATL","JFK","<=15","<=15",7,"DL"
"7181","EWR","JAX",">60",">60",9,"UA"
"7182","EWR","MCI","<=15","<=15",10,"UA"
"7183","LGA","MDW","<=15","<=15",10,"WN"
"7184","EWR","PIT","<=15","<=15",10,"UA"
"7185","JFK","RDU","<=15","<=15",10,"B6"
"7186","EWR","ORD","<=15","<=15",6,"UA"
"7187","EWR","CHS","<=15","<=15",10,"UA"
"7188","EWR","BOS","30-45","15-30",10,"UA"
"7189","FLL","EWR",">60",">60",5,"B6"
"7190","LGA","DTW","<=15","<=15",8,"NK"
"7191","EWR","CLT","30-45","15-30",10,"UA"
"7192","EWR","BNA",">60",">60",10,"UA"
"7193","JFK","LAX","45-60","30-45",10,"B6"
"7194","SEA","EWR","<=15","15-30",0.75,"AS"
"7195","EWR","DTW",">60","30-45",8,"UA"
"7196","DTW","LGA","<=15","<=15",10,"DL"
"7197","EWR","ORF","<=15","<=15",10,"UA"
"7198","EWR","MSP","<=15","<=15",5,"UA"
"7199","JFK","SYR","<=15","<=15",7,"B6"
"7200","BOS","JFK",">60",">60",10,"B6"
"7201","EWR","DCA","<=15","<=15",10,"YX"
"7202","EWR","GSO","<=15","<=15",10,"YX"
"7203","EWR","GSP","30-45","30-45",10,"YX"
"7204","DTW","EWR","<=15","<=15",9,"DL"
"7205","EWR","PWM","<=15","<=15",10,"YX"
"7206","EWR","IND","<=15","<=15",10,"YX"
"7207","EWR","BGR","<=15","<=15",10,"YX"
"7208","EWR","MHT","<=15","<=15",10,"YX"
"7209","EWR","PVD","<=15","<=15",0.5,"YX"
"7210","TPA","EWR",">60",">60",9,"UA"
"7211","EWR","BTV","<=15","<=15",7,"YX"
"7212","JFK","PWM",">60",">60",10,"9E"
"7213","JFK","BUF","<=15","<=15",10,"9E"
"7214","JFK","ROC","<=15","<=15",2.5,"9E"
"7215","JFK","SYR","<=15","<=15",10,"9E"
"7216","JFK","BGR","<=15","<=15",10,"9E"
"7217","FLL","JFK",">60",">60",5,"B6"
"7218","LAX","EWR","<=15","<=15",1,"UA"
"7219","SFO","EWR","<=15","<=15",0.75,"UA"
"7220","LAX","JFK",">60",">60",7,"B6"
"7221","LAX","JFK","<=15","<=15",7,"AA"
"7222","SEA","JFK","<=15","<=15",7,"AS"
"7223","LAX","JFK",">60",">60",6,"B6"
"7224","PHX","JFK","<=15","<=15",7,"B6"
"7225","SMF","JFK","<=15","<=15",6,"B6"
"7226","SFO","JFK",">60",">60",6,"AS"
"7227","JFK","ROC","<=15","<=15",9,"B6"
"7228","SEA","JFK","<=15","<=15",7,"B6"
"7229","JFK","ORH","30-45","<=15",0.24,"B6"
"7230","SFO","JFK","15-30","15-30",6,"DL"
"7231","LAS","JFK","<=15","<=15",7,"DL"
"7232","SAN","JFK","<=15","<=15",6,"AS"
"7233","LGA","BNA","<=15","<=15",10,"B6"
"7234","SFO","EWR","15-30","15-30",6,"AS"
"7235","JFK","BOS","30-45","45-60",10,"B6"
"7236","LGA","MCO","<=15","<=15",10,"F9"
"7237","LAS","JFK","<=15","<=15",7,"AA"
"7238","LAS","JFK","15-30","15-30",7,"B6"
"7239","JFK","SFO",">60",">60",10,"B6"
"7240","LAX","JFK","<=15","<=15",7,"DL"
"7241","SEA","JFK","<=15","<=15",6,"DL"
"7242","CLT","LGA","45-60","30-45",10,"AA"
"7243","SFO","EWR","<=15","<=15",6,"UA"
"7244","SMF","EWR","<=15","<=15",6,"UA"
"7245","SAN","EWR","<=15","<=15",6,"UA"
"7246","CLT","EWR","<=15","<=15",5,"AA"
"7247","ATL","EWR","<=15","<=15",5,"DL"
"7248","IAD","EWR","<=15","<=15",9,"YX"
"7249","SLC","JFK","15-30","15-30",7,"B6"
"7250","SEA","JFK","<=15","<=15",6,"AS"
"7251","DEN","JFK","<=15","<=15",7,"B6"
"7252","LAX","EWR","<=15","15-30",8,"AS"
"7253","SFO","JFK",">60",">60",6,"AS"
"7254","ONT","JFK","45-60","45-60",6,"B6"
"7255","SLC","JFK","<=15","<=15",7,"DL"
"7256","LAX","EWR","<=15","<=15",8,"UA"
"7257","PHX","JFK","15-30","<=15",7,"DL"
"7258","LAS","JFK","<=15","<=15",6,"DL"
"7259","PDX","EWR","<=15","<=15",8,"UA"
"7260","DEN","EWR","<=15","<=15",0.75,"UA"
"7261","PHX","JFK","<=15","<=15",7,"AA"
"7262","LAX","JFK","<=15","<=15",6,"B6"
"7263","LAS","EWR","<=15","<=15",8,"UA"
"7264","LAS","EWR","45-60","30-45",8,"UA"
"7265","SEA","EWR","<=15","<=15",8,"UA"
"7266","SFO","EWR","45-60","45-60",8,"UA"
"7267","PHX","EWR","45-60","15-30",6,"UA"
"7268","LAS","JFK",">60",">60",6,"B6"
"7269","LAX","EWR","<=15","<=15",8,"B6"
"7270","SLC","EWR","<=15","<=15",2,"UA"
"7271","EWR","IAH","<=15","<=15",10,"UA"
"7272","EWR","FLL","<=15","<=15",10,"NK"
"7273","EWR","DFW","45-60","45-60",10,"AA"
"7274","EWR","TPA","<=15","<=15",10,"B6"
"7275","MCO","LGA","15-30","<=15",5,"NK"
"7276","EWR","BNA","<=15","<=15",10,"NK"
"7277","EWR","MIA","<=15","<=15",10,"AA"
"7278","LGA","MIA","<=15","<=15",10,"AA"
"7279","BOS","EWR","<=15","<=15",2,"UA"
"7280","LGA","DFW","<=15","<=15",10,"AA"
"7281","IND","EWR","<=15","<=15",2,"NK"
"7282","LAS","EWR","<=15","<=15",0.24,"NK"
"7283","BOS","JFK","<=15","<=15",1.5,"B6"
"7284","EWR","ORD","15-30","<=15",10,"AA"
"7285","BNA","LGA","<=15","<=15",10,"WN"
"7286","BUF","JFK","<=15","<=15",2.5,"B6"
"7287","ORF","EWR","<=15","<=15",2,"UA"
"7288","LAX","JFK","<=15","<=15",0.5,"B6"
"7289","ROC","JFK","<=15","<=15",2.5,"9E"
"7290","BUF","JFK","<=15","<=15",2.5,"9E"
"7291","PWM","JFK","<=15","<=15",2.5,"9E"
"7292","SYR","JFK",">60",">60",2.5,"9E"
"7293","BGR","JFK","<=15","30-45",2.5,"9E"
"7294","PBI","LGA","<=15","<=15",10,"B6"
"7295","EWR","PBI","<=15","<=15",10,"B6"
"7296","LGA","FLL",">60",">60",10,"NK"
"7297","MCO","EWR","<=15","<=15",3,"NK"
"7298","LGA","BOS","<=15","<=15",2.5,"B6"
"7299","EWR","ORD","<=15","<=15",10,"UA"
"7300","LGA","MCO","<=15","<=15",10,"B6"
"7301","ORD","JFK","<=15","<=15",8,"B6"
"7302","EWR","MCO","<=15","<=15",10,"B6"
"7303","LAX","JFK","<=15","<=15",3,"AA"
"7304","JFK","SLC","<=15","<=15",10,"DL"
"7305","STL","LGA","<=15","<=15",10,"WN"
"7306","JFK","MIA","<=15","<=15",10,"AA"
"7307","JFK","ATL","<=15","<=15",10,"DL"
"7308","FLL","LGA","<=15","<=15",10,"B6"
"7309","LGA","ATL","<=15","<=15",10,"DL"
"7310","ROC","JFK","<=15","<=15",2.5,"B6"
"7311","BNA","EWR","<=15","<=15",3,"UA"
"7312","LAX","JFK","<=15","<=15",3,"B6"
"7313","JFK","BOS","<=15","<=15",2.5,"B6"
"7314","TPA","JFK","<=15","<=15",8,"B6"
"7315","BOS","LGA","<=15","<=15",5,"B6"
"7316","BTV","JFK","<=15","<=15",2.5,"B6"
"7317","EWR","DTW",">60",">60",10,"DL"
"7318","JFK","MCO","<=15","<=15",10,"B6"
"7319","EWR","LAS","<=15","<=15",10,"UA"
"7320","LGA","CLT","<=15","<=15",10,"AA"
"7321","BUF","EWR",">60",">60",2,"UA"
"7322","EWR","FLL","<=15","<=15",10,"UA"
"7323","EWR","SFO","<=15","<=15",6,"UA"
"7324","EWR","MCO","<=15","<=15",10,"UA"
"7325","LGA","CLT","<=15","<=15",10,"AA"
"7326","LGA","DFW","<=15","<=15",10,"AA"
"7327","JFK","MIA","<=15","15-30",10,"AA"
"7328","EWR","ORD","<=15","<=15",10,"UA"
"7329","JFK","ORD","<=15","<=15",10,"B6"
"7330","LGA","DTW","15-30","15-30",10,"DL"
"7331","EWR","DEN","<=15","<=15",10,"UA"
"7332","FLL","EWR","<=15","<=15",3,"B6"
"7333","LGA","TPA","<=15","<=15",10,"B6"
"7334","EWR","PHX","<=15","<=15",10,"AA"
"7335","JAX","LGA","<=15","<=15",10,"B6"
"7336","DFW","LGA","<=15","<=15",10,"AA"
"7337","RSW","EWR","<=15","<=15",3,"UA"
"7338","LGA","MCO","<=15","<=15",10,"NK"
"7339","EWR","LAX","<=15","<=15",10,"B6"
"7340","MCO","LGA","<=15","<=15",10,"B6"
"7341","MSY","EWR","<=15","<=15",3,"UA"
"7342","EWR","PBI","<=15","<=15",10,"UA"
"7343","DFW","JFK","15-30","<=15",2,"B6"
"7344","LGA","HOU","<=15","<=15",10,"WN"
"7345","LGA","STL","<=15","<=15",10,"WN"
"7346","JFK","PHX","<=15","<=15",10,"AA"
"7347","EWR","FLL","<=15","15-30",10,"B6"
"7348","ORH","JFK","<=15","<=15",2.5,"B6"
"7349","BNA","LGA","<=15","<=15",10,"B6"
"7350","DFW","EWR","<=15","<=15",3,"UA"
"7351","CLT","EWR","<=15","<=15",2,"UA"
"7352","IND","EWR","<=15","<=15",3,"UA"
"7353","LGA","RSW","<=15","<=15",10,"B6"
"7354","LAX","JFK","15-30","<=15",3,"DL"
"7355","JFK","ATL","<=15","<=15",10,"B6"
"7356","SFO","JFK","<=15","<=15",3,"B6"
"7357","EWR","ATL","<=15","<=15",10,"DL"
"7358","LGA","FLL","<=15","<=15",10,"B6"
"7359","LGA","DEN","<=15","<=15",10,"B6"
"7360","LAS","JFK","<=15","<=15",0.5,"DL"
"7361","EWR","SEA","<=15","<=15",10,"UA"
"7362","EWR","AUS","<=15","<=15",10,"NK"
"7363","EWR","LAX","<=15","<=15",10,"UA"
"7364","LGA","MDW",">60",">60",7,"WN"
"7365","EWR","MIA","<=15","<=15",10,"UA"
"7366","LGA","MIA","<=15","15-30",10,"AA"
"7367","LGA","IAH","<=15","<=15",10,"UA"
"7368","JFK","CLT","<=15","<=15",10,"AA"
"7369","EWR","CLT","<=15","<=15",10,"AA"
"7370","LGA","ORD","<=15","<=15",10,"UA"
"7371","JFK","FLL","<=15","<=15",10,"B6"
"7372","LGA","DAL","<=15","<=15",10,"WN"
"7373","JFK","BUF","<=15","<=15",10,"B6"
"7374","LGA","ORD","<=15","<=15",10,"AA"
"7375","MCO","JFK","<=15","<=15",3,"B6"
"7376","EWR","IAD","<=15","<=15",6,"YX"
"7377","IAH","EWR","<=15","<=15",3,"UA"
"7378","CHS","EWR","<=15","<=15",2,"UA"
"7379","DTW","EWR","<=15","<=15",2,"UA"
"7380","SRQ","EWR",">60",">60",3,"UA"
"7381","LAS","EWR","<=15","<=15",0.25,"UA"
"7382","DTW","JFK","<=15","<=15",3,"B6"
"7383","JAX","EWR","<=15","<=15",3,"UA"
"7384","RDU","EWR","<=15","<=15",2,"UA"
"7385","MIA","LGA","15-30","15-30",10,"AA"
"7386","DEN","LGA","<=15","<=15",1,"WN"
"7387","DTW","LGA",">60",">60",10,"NK"
"7388","BOS","JFK","<=15","<=15",2.5,"DL"
"7389","PIT","EWR","<=15","<=15",2,"UA"
"7390","SAV","LGA","<=15","<=15",10,"B6"
"7391","MIA","EWR","<=15","<=15",3,"UA"
"7392","MCI","EWR","<=15","<=15",3,"UA"
"7393","DAL","LGA","<=15","<=15",10,"WN"
"7394","MCO","EWR","<=15","15-30",3,"UA"
"7395","MCO","EWR","<=15","<=15",3,"UA"
"7396","ORD","LGA","<=15","<=15",10,"UA"
"7397","SAV","EWR","<=15","<=15",3,"UA"
"7398","MSP","EWR","<=15","15-30",3,"UA"
"7399","PBI","EWR","<=15","<=15",3,"UA"
"7400","LAX","EWR","<=15","<=15",0.25,"UA"
"7401","IAD","EWR","<=15","<=15",2,"UA"
"7402","ORD","EWR","<=15","30-45",3,"UA"
"7403","MCO","EWR","15-30","<=15",3,"B6"
"7404","SNA","EWR","<=15","<=15",1.75,"UA"
"7405","MEM","EWR","<=15","<=15",3,"UA"
"7406","FLL","EWR","30-45","30-45",3,"UA"
"7407","PHX","EWR","<=15","<=15",0.24,"UA"
"7408","TPA","EWR","<=15","<=15",3,"UA"
"7409","BOS","EWR",">60",">60",3,"B6"
"7410","MIA","JFK","15-30","<=15",8,"DL"
"7411","ORD","LGA","<=15","<=15",10,"AA"
"7412","MDW","LGA","<=15","<=15",10,"WN"
"7413","GSP","EWR","<=15","<=15",3,"YX"
"7414","PVD","EWR","<=15","<=15",2,"YX"
"7415","ALB","EWR","<=15","<=15",2,"YX"
"7416","DCA","EWR","<=15","<=15",2,"YX"
"7417","GSO","EWR","<=15","<=15",2,"YX"
"7418","MHT","EWR","<=15","<=15",2,"YX"
"7419","CLE","EWR",">60",">60",3,"YX"
"7420","CVG","EWR","<=15","30-45",3,"YX"
"7421","BTV","EWR","<=15","<=15",2,"YX"
"7422","PWM","EWR","<=15","<=15",2,"YX"
"7423","GRR","EWR","<=15","<=15",3,"YX"
"7424","LIT","LGA","<=15","<=15",10,"YX"
"7425","OMA","LGA","<=15","<=15",10,"YX"
"7426","CLT","JFK","<=15","<=15",3,"9E"
"7427","RDU","JFK","<=15","<=15",3,"9E"
"7428","JAX","JFK","<=15","<=15",3,"YX"
"7429","CMH","JFK","<=15","<=15",3,"YX"
"7430","DCA","JFK","<=15","<=15",2.5,"YX"
"7431","JFK","LAX","<=15","<=15",5,"AA"
"7432","JFK","SEA","<=15","<=15",10,"AS"
"7433","JFK","SFO","<=15","<=15",8,"B6"
"7434","EWR","MCO","<=15","15-30",10,"NK"
"7435","JFK","MSP","<=15","<=15",8,"B6"
"7436","TPA","LGA","<=15","<=15",10,"B6"
"7437","JFK","SFO","<=15","<=15",8,"AS"
"7438","JFK","SEA","<=15","<=15",10,"DL"
"7439","LGA","DEN","<=15","<=15",10,"DL"
"7440","EWR","FLL","<=15","30-45",10,"B6"
"7441","LGA","DFW","<=15","<=15",10,"AA"
"7442","SAN","JFK","<=15","<=15",10,"AS"
"7443","LGA","PBI","<=15","<=15",10,"B6"
"7444","MIA","JFK","15-30","<=15",10,"B6"
"7445","JFK","SFO","<=15","<=15",8,"DL"
"7446","ATL","EWR","<=15","<=15",3,"UA"
"7447","EWR","SFO","30-45","15-30",8,"AS"
"7448","JFK","MSP","15-30","<=15",4,"DL"
"7449","AUS","EWR","<=15","<=15",0.25,"UA"
"7450","LGA","ORD","<=15","<=15",9,"AA"
"7451","LAX","JFK","<=15","<=15",10,"AA"
"7452","EWR","IAH","<=15","<=15",10,"UA"
"7453","JFK","PHX","<=15","<=15",10,"DL"
"7454","SYR","JFK","<=15","<=15",3,"B6"
"7455","JFK","LAX","<=15","<=15",5,"B6"
"7456","LAX","JFK","<=15","<=15",10,"DL"
"7457","BOS","LGA","<=15","<=15",10,"B6"
"7458","LGA","MSP","<=15","<=15",8,"DL"
"7459","SEA","JFK","<=15","<=15",10,"DL"
"7460","EWR","SEA","<=15","<=15",10,"AS"
"7461","EWR","SAN","<=15","<=15",10,"UA"
"7462","SAN","JFK","<=15","15-30",10,"DL"
"7463","JFK","MCO","<=15","<=15",10,"DL"
"7464","ORD","LGA","<=15","<=15",10,"AA"
"7465","PDX","JFK","<=15","<=15",10,"DL"
"7466","JFK","PBI","<=15","30-45",10,"B6"
"7467","JFK","LAX","<=15","<=15",5,"DL"
"7468","EWR","JAX","45-60",">60",10,"UA"
"7469","EWR","SRQ","<=15","<=15",10,"UA"
"7470","EWR","PHX","15-30","<=15",10,"UA"
"7471","ATL","JFK","15-30","<=15",8,"B6"
"7472","FLL","EWR","15-30","<=15",3,"NK"
"7473","JFK","FLL","<=15","<=15",10,"DL"
"7474","JFK","JAX","<=15","15-30",10,"B6"
"7475","ATL","EWR","<=15","<=15",3,"DL"
"7476","BOS","EWR","<=15","<=15",3,"UA"
"7477","FLL","EWR","<=15","<=15",3,"UA"
"7478","LGA","MIA","<=15","<=15",10,"DL"
"7479","JFK","TPA","<=15","<=15",10,"DL"
"7480","LGA","ORD","<=15","<=15",10,"DL"
"7481","LGA","DEN","<=15","<=15",10,"WN"
"7482","EWR","TPA","<=15","<=15",10,"UA"
"7483","JFK","RSW","<=15","<=15",10,"DL"
"7484","LGA","MIA","<=15","<=15",10,"AA"
"7485","DFW","LGA","<=15","<=15",1,"DL"
"7486","LGA","FLL","<=15","<=15",10,"DL"
"7487","EWR","SAT","45-60","15-30",10,"UA"
"7488","JFK","MIA","<=15","<=15",10,"AA"
"7489","BOS","JFK","<=15","<=15",3,"B6"
"7490","EWR","MSY","<=15","<=15",10,"UA"
"7491","DFW","LGA","<=15","<=15",2,"NK"
"7492","LGA","IAH","<=15","<=15",10,"UA"
"7493","LGA","DEN","<=15","<=15",10,"UA"
"7494","EWR","BZN","<=15","<=15",10,"UA"
"7495","LGA","ATL","<=15","<=15",10,"WN"
"7496","LGA","TPA","<=15","<=15",10,"DL"
"7497","PBI","LGA","<=15","<=15",10,"DL"
"7498","EWR","MSP",">60",">60",4,"DL"
"7499","PBI","JFK","<=15","<=15",8,"B6"
"7500","EWR","MCO","<=15","<=15",10,"UA"
"7501","JFK","MIA","<=15","15-30",10,"DL"
"7502","EWR","BOS","<=15","<=15",3,"UA"
"7503","JFK","DFW","<=15","<=15",10,"AA"
"7504","EWR","RSW","<=15","<=15",10,"UA"
"7505","MYR","LGA","<=15","<=15",10,"NK"
"7506","EWR","DEN","<=15","<=15",10,"UA"
"7507","LGA","MCO","<=15","15-30",10,"DL"
"7508","EWR","ATL","<=15","<=15",10,"UA"
"7509","JFK","CHS","<=15","<=15",4,"B6"
"7510","LGA","MSY","30-45","15-30",10,"B6"
"7511","SFO","JFK","<=15","<=15",10,"AS"
"7512","SAT","EWR","<=15","<=15",0.25,"UA"
"7513","EWR","RDU","<=15","<=15",6,"UA"
"7514","EWR","ATL","15-30","15-30",10,"DL"
"7515","DEN","JFK","<=15","<=15",0.5,"DL"
"7516","LGA","BOS","<=15","<=15",3,"B6"
"7517","EWR","MIA","<=15","<=15",10,"AA"
"7518","LGA","BNA","<=15","<=15",10,"WN"
"7519","HOU","LGA","<=15","<=15",2,"WN"
"7520","AUS","JFK","<=15","<=15",0.75,"DL"
"7521","BNA","EWR","<=15","<=15",0.25,"NK"
"7522","EWR","PHL","<=15","<=15",5,"YX"
"7523","EWR","PWM","<=15","<=15",3.5,"YX"
"7524","BNA","LGA",">60","45-60",10,"AA"
"7525","EWR","ORF","<=15","<=15",10,"YX"
"7526","EWR","CLE","<=15","<=15",10,"YX"
"7527","FLL","LGA","<=15","<=15",10,"DL"
"7528","MCO","JFK","15-30","15-30",8,"DL"
"7529","JFK","DCA","<=15","<=15",10,"YX"
"7530","RDU","JFK","<=15","<=15",3,"B6"
"7531","ATL","LGA","<=15","<=15",10,"DL"
"7532","SFO","EWR","15-30","<=15",1.75,"UA"
"7533","DFW","LGA","<=15","<=15",2,"AA"
"7534","PBI","JFK","<=15","<=15",10,"DL"
"7535","ATL","LGA","30-45","15-30",10,"F9"
"7536","PBI","EWR","<=15","<=15",3,"UA"
"7537","IAH","EWR","<=15","<=15",0.25,"UA"
"7538","LGA","CLE","<=15","<=15",10,"9E"
"7539","CLT","JFK","<=15","<=15",8,"AA"
"7540","LAS","EWR","<=15","<=15",0.25,"UA"
"7541","MCO","JFK","<=15","<=15",8,"B6"
"7542","LGA","CVG","<=15","<=15",10,"9E"
"7543","TPA","JFK","15-30","<=15",10,"DL"
"7544","LGA","RDU","<=15","<=15",6,"9E"
"7545","MIA","LGA","<=15","<=15",10,"DL"
"7546","LAX","EWR","<=15","<=15",1.75,"B6"
"7547","LGA","DCA","<=15","<=15",10,"YX"
"7548","LGA","BOS","<=15","<=15",3,"YX"
"7549","IAD","EWR","<=15","<=15",3,"UA"
"7550","DCA","LGA","<=15","<=15",10,"AA"
"7551","CLT","LGA","<=15","<=15",10,"AA"
"7552","TPA","EWR","<=15","<=15",3,"UA"
"7553","MSN","EWR","<=15","15-30",3,"UA"
"7554","ORD","EWR","<=15","15-30",3,"UA"
"7555","AUS","JFK","15-30","<=15",0.75,"AA"
"7556","FLL","JFK","<=15","<=15",8,"DL"
"7557","MIA","JFK","<=15","<=15",10,"AA"
"7558","MCO","LGA","<=15","<=15",10,"DL"
"7559","ORD","LGA","<=15","<=15",2,"DL"
"7560","TPA","LGA","<=15","<=15",10,"WN"
"7561","DTW","EWR","<=15","<=15",3,"UA"
"7562","SAN","EWR","<=15","<=15",1.75,"UA"
"7563","VPS","EWR","<=15","<=15",0.25,"G4"
"7564","MIA","LGA","45-60","15-30",10,"NK"
"7565","PIT","EWR","<=15","<=15",3,"YX"
"7566","MSP","EWR","<=15","45-60",3,"OO"
"7567","OKC","LGA","<=15","<=15",2,"YX"
"7568","MEM","LGA","<=15","<=15",2,"YX"
"7569","ILM","LGA","<=15","<=15",10,"YX"
"7570","RDU","JFK","<=15","<=15",8,"YX"
"7571","SAV","JFK","<=15","<=15",8,"9E"
"7572","BUF","LGA","<=15","<=15",10,"9E"
"7573","MSP","JFK","<=15","45-60",10,"9E"
"7574","CHS","JFK","<=15","<=15",8,"9E"
"7575","RDU","LGA","15-30","<=15",10,"9E"
"7576","STL","LGA","<=15","<=15",2,"9E"
"7577","BNA","LGA","<=15","<=15",2,"9E"
"7578","BGR","LGA","45-60",">60",10,"9E"
"7579","BOS","LGA","<=15","<=15",10,"YX"
"7580","CLT","LGA","<=15","<=15",10,"YX"
"7581","PIT","LGA","<=15","<=15",10,"YX"
"7582","DCA","LGA","<=15","<=15",10,"YX"
"7583","IND","LGA","<=15","<=15",10,"YX"
"7584","LAX","JFK","<=15","<=15",10,"AA"
"7585","JFK","PHX","<=15","<=15",10,"B6"
"7586","JFK","MSY","<=15","<=15",10,"B6"
"7587","JFK","ROC","<=15","<=15",10,"B6"
"7588","JFK","SAN","<=15","<=15",10,"B6"
"7589","JFK","DTW","<=15","<=15",10,"B6"
"7590","LAX","EWR","<=15","<=15",6,"NK"
"7591","SAN","JFK","<=15","15-30",10,"B6"
"7592","LGA","BOS","<=15","<=15",3.5,"B6"
"7593","LGA","JAX",">60",">60",3,"B6"
"7594","JFK","SAV","<=15","<=15",0.25,"B6"
"7595","JFK","SAN","<=15","<=15",10,"DL"
"7596","EWR","LAS",">60",">60",10,"UA"
"7597","PBI","JFK","<=15","<=15",2,"B6"
"7598","EWR","PBI","<=15","45-60",10,"UA"
"7599","LGA","ATL","<=15","<=15",10,"DL"
"7600","LGA","DFW","<=15","<=15",10,"DL"
"7601","EWR","BNA",">60",">60",10,"UA"
"7602","JFK","FLL","<=15","<=15",10,"B6"
"7603","JFK","AUS","<=15","<=15",10,"DL"
"7604","LAX","JFK","<=15","<=15",10,"B6"
"7605","LGA","IAH","<=15","<=15",10,"NK"
"7606","BOS","EWR","<=15","<=15",3,"UA"
"7607","MCO","EWR","<=15","<=15",3,"UA"
"7608","JFK","ATL","<=15","<=15",10,"DL"
"7609","JFK","LAX","<=15","<=15",4,"DL"
"7610","EWR","EGE",">60",">60",10,"UA"
"7611","JFK","BNA","<=15","<=15",10,"B6"
"7612","EWR","SFO","<=15","<=15",8,"UA"
"7613","EWR","SAV","<=15","45-60",0.25,"UA"
"7614","ATL","LGA",">60","30-45",10,"DL"
"7615","EWR","LAX","<=15","<=15",4,"UA"
"7616","DEN","EWR","<=15","<=15",0.24,"UA"
"7617","LGA","DFW",">60",">60",10,"AA"
"7618","EWR","FLL","<=15","30-45",10,"UA"
"7619","EWR","MIA","<=15","15-30",10,"UA"
"7620","JFK","LAS","15-30","<=15",10,"DL"
"7621","EWR","DFW","<=15","30-45",10,"AA"
"7622","EWR","CLT","<=15","<=15",10,"AA"
"7623","LAS","JFK","<=15","<=15",10,"DL"
"7624","FLL","LGA","45-60","30-45",2,"NK"
"7625","IAH","EWR","30-45","15-30",0.25,"NK"
"7626","CLE","EWR","<=15","<=15",3,"UA"
"7627","JFK","EGE","<=15","<=15",10,"AA"
"7628","EWR","ORD","<=15","<=15",9,"UA"
"7629","SAN","EWR","<=15","<=15",6,"AS"
"7630","LGA","IAH","<=15","<=15",10,"DL"
"7631","LGA","DCA","30-45","15-30",10,"AA"
"7632","IAH","LGA",">60",">60",1,"NK"
"7633","JFK","LAX","<=15","15-30",4,"B6"
"7634","JFK","LAS","<=15","<=15",10,"B6"
"7635","ORD","JFK","<=15","<=15",0.75,"B6"
"7636","EWR","TPA","<=15","15-30",9,"UA"
"7637","LGA","ORD","<=15","<=15",9,"UA"
"7638","EWR","BOS",">60",">60",4,"B6"
"7639","EWR","DTW","<=15","<=15",10,"UA"
"7640","DFW","LGA","<=15","<=15",1,"AA"
"7641","JFK","AUS","<=15","<=15",10,"AA"
"7642","JFK","ORD","<=15","<=15",5,"AA"
"7643","LGA","CLT","<=15","<=15",10,"AA"
"7644","JFK","DEN","<=15","<=15",10,"DL"
"7645","EWR","CVG","<=15","<=15",9,"YX"
"7646","EWR","SDF","<=15","<=15",10,"YX"
"7647","EWR","GSO","<=15","30-45",0.13,"YX"
"7648","EWR","CLT",">60",">60",10,"YX"
"7649","EWR","MKE","<=15","15-30",8,"YX"
"7650","ORD","EWR","15-30",">60",0.25,"AA"
"7651","SFO","JFK","<=15","<=15",10,"B6"
"7652","EWR","EYW","<=15","15-30",10,"YX"
"7653","EWR","PIT","<=15","<=15",10,"YX"
"7654","LGA","STL","<=15","<=15",10,"9E"
"7655","FLL","JFK","<=15","<=15",10,"B6"
"7656","TYS","EWR","<=15","<=15",3,"G4"
"7657","TPA","EWR","15-30","<=15",3,"UA"
"7658","LGA","ILM","45-60",">60",10,"YX"
"7659","SFO","EWR","<=15","<=15",6,"UA"
"7660","IAH","LGA","<=15","<=15",0.25,"UA"
"7661","LGA","PIT","<=15","<=15",10,"9E"
"7662","LAS","EWR","<=15","<=15",1.75,"UA"
"7663","LAX","EWR","<=15","<=15",6,"UA"
"7664","JFK","RDU","<=15","<=15",7,"9E"
"7665","LGA","CHS","30-45","15-30",10,"9E"
"7666","JFK","JAX","<=15","<=15",3,"YX"
"7667","LGA","JAX","<=15","<=15",10,"YX"
"7668","LGA","CMH","<=15","<=15",9,"YX"
"7669","ORD","LGA","<=15","<=15",2,"UA"
"7670","MIA","EWR","15-30","<=15",0.25,"UA"
"7671","MDW","LGA","<=15","<=15",2,"WN"
"7672","PBI","EWR","<=15","<=15",0.25,"UA"
"7673","BUF","JFK","<=15","<=15",8,"B6"
"7674","MIA","JFK","<=15","<=15",2,"AA"
"7675","TPA","EWR","<=15","<=15",0.25,"B6"
